No,Nama Perusahaan,Merek Perusahaan,Nomor Anggota,Nama Pimpinan,Perijinan,Kota,Provinsi,DPD
"155","PT INDOJAVA MULIA WISATA","Indojava Tour","309/AMPHURI/2017","H. Yus Russamsi Ahmad, Sh.","PIHK","","Jawa Barat","Jawa Barat"
"156","PT KAROMAH BAIT AL ANSOR","-","310/AMPHURI/2017","H. Juremi Slamet","PIHK","","Sumatera Selatan","Sumatera Selatan, Bengkulu, & Babel"
"157","PT HANNAS FANTASTIC TOUR","-","312/AMPHURI/2017","H. Achmadi Nurfaki","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"158","PT RAIHAN ALYA TOUR","Raihan Alya","313/AMPHURI/2017","H. Muhammad Al - Gifari, S.Sos.I","PIHK","","Kalimantan Tengah","Kalimantan Timur dan Kalimantan Utara (Kaltimtara)"
"159","PT AMIRAH INDONESIA TOUR","-","315/AMPHURI/2017","H. Syamsul Bahri Nasution, Sh.","PIHK","","Sumatera Utara","Sumatera Utara"
"160","PT BRAHMANA MUDA SENTOSA","Zafir Tour","316/AMPHURI/2017","H. Kuswariansyah, St","PPIU","","Sumatera Selatan","Sumatera Selatan, Bengkulu, & Babel"
"161","PT BHARATA WISATA MANDIRI","Bwtours","317/AMPHURI/2017","H. Bharata Ganda Septiyandri, St","PPIU","","Sumatera Selatan","Sumatera Selatan, Bengkulu, & Babel"
"162","PT YEKA MADIRA TRAVEL","Yeka Madira Travel","318/AMPHURI/2017","Hj. Farah Nisa, Se, Ak, Mm","PPIU","","Sumatera Selatan","Sumatera Selatan, Bengkulu, & Babel"
"163","PT BRY SEJATI MAKMUR ABADI","-","319/AMPHURI/2017","Hj. Yeyet Nurhayati","PPIU","","Jawa Barat","Jawa Barat"
"164","PT FATOUR TRAVEL INDONESIA","Fatour Travel","320/AMPHURI/2017","H. Firman Candra, Sh, Mh.","PPIU","","Jawa Barat","Jawa Barat"
"165","PT ANDAMAS MABRUR WISATA","Andamas Tour & Travel","321/AMPHURI/2017","Hj. Nur Indriani","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"166","PT QIBLATAIN AMA TOUR","Qiblatain Ama Tour","322/AMPHURI/2017","Hj. Afida Hardany, A.Md.","PPIU","","Jawa Tengah","Jawa Tengah"
"167","PT AFRAH DIYANI MANDIRI","Afdi Tours","323/AMPHURI/2017","Hj. Yeti Nurhayati, S. Ag","PPIU","","Jawa Barat","Jawa Barat"
"168","PT GARUDA ABADI","Gardi Tour","325/AMPHURI/2017","H. Merisdel Muslim, S.E","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"169","PT MAZIYA RIZKI ALAMI","Mazq Tour","326/AMPHURI/2017","Hj. Kokom Siti Komariah","PIHK","","Jawa Barat","Jawa Barat"
"170","PT KIBLATAIN JAYA WISATA","-","330/AMPHURI/2017","Hj. Sintya Nurwahyuni","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"171","PT SEBARIZ WARNA BERKAH","Sebariz Tour & Travel","333/AMPHURI/2017","Hj. Gloria Tri Lestari Wardhani","PPIU","","Jawa Timur","Jawa Timur"
"172","PT ARUDAM SEMBILAN SEMBILAN","Arudam Sembilan Sembilan","334/AMPHURI/2017","H. Muhtadi","PPIU","","Jawa Timur","Jawa Timur"
"173","PT BUANA PAOTERE WISATA","-","335/AMPHURI/2017","Hj. Kurniyawati, St., Mt","PIHK","","Sulawesi Selatan","Sulampua"
"174","PT SALWANA GLOBAL SARANA","Sarana Umrah / Sarana Tours","336/AMPHURI/2017","H. Saipul Bahri","PIHK","","Jawa Barat","Jawa Barat"
"175","PT ALHAJJ HIKMAH INDONESIA","-","337/AMPHURI/2017","H. Andi Chandrawali, S.H","PIHK","","Sulawesi Selatan","Sulampua"
"176","PT KHALIFAH WISATA INDONESIA","Khalifah Wisata Indonesia","339/AMPHURI/2017","Hj. Lisa Oktaviany","PIHK","","Sulawesi Selatan","Sulampua"
"177","PT ADZAN INSAN KARIMAH","-","341/AMPHURI/2017","H. Agus Salim Narwis","PPIU","","Sulawesi Selatan","Sulampua"
"178","PT AL AZHAR MANDIRI","-","342/AMPHURI/2017","H. Muhammad Yunus P","PPIU","","Sulawesi Selatan","Sulampua"
"179","PT METRO MAKASSAR GEMILANG","-","343/AMPHURI/2017","H. Abdullah Bazergan","PPIU","","Sulawesi Selatan","Sulampua"
"180","PT AMANAH UMMAT INDONESIA","-","AK/344/AMPHURI/2017","H. Syahril Saeni","Kemitraan","","Sulawesi Barat","Sulampua"
"181","PT PELANGI WISATA MADANIAH","Pelangi Wisata Madaniah","345/AMPHURI/2017","H. Hendika Sofyan Djabar","PIHK","","Sulawesi Selatan","Sulampua"
"182","PT MENARA KAMILAH TOURS AND TRAVEL","-","346/AMPHURI/2017","H. Abdul Muchith","PPIU","","Jawa Timur","Jawa Timur"
"183","PT RAMEYZA WISATA JAYA","-","347/AMPHURI/2017","H. Zaki Zamani","PIHK","","Jawa Timur","Jawa Timur"
"184","PT NURINDO WISATA","Alifah Tour","348/AMPHURI/2017","H. Wawan Darmawan","PIHK","","Jawa Barat","Jawa Barat"
"185","PT RAYA RINDANG WISATA","-","349/AMPHURI/2017","H. Mahyudin Hormansyah","PPIU","","Kalimantan Selatan","Kalimantan Timur dan Kalimantan Utara (Kaltimtara)"
"186","PT ISTIQLAL WISATA","Istiqlal Travel","350/AMPHURI/2017","H. Akhmad Muzakki","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"187","PT MARBA WISATA INDONESIA","Tour Travel Umroh","351/AMPHURI/2017","H. Yusuf Muhammad Martak","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"188","PT LUNA AMANAH INTERNASIONAL","Luna Amanah Travel","353/AMPHURI/2017","H. Irwan Yusrat Patongai","PIHK","","Sulawesi Selatan","Sulampua"
"189","PT AL IKHLAS WISATA MANDIRI","-","354/AMPHURI/2017","H. Saifuddin Thahir","PPIU","","Sulawesi Selatan","Sulampua"
"190","PT SAUDARAKU","Saudaraku Umroh Haji","355/AMPHURI/2017","H. Muhammad Rasyid Ismail","PIHK","","Jawa Timur","Jawa Timur"
"191","PT MOZAIK UNIVERSAL INDONESIA","-","357/AMPHURI/2017","H. Buwono Himawan, St","PPIU","","Jawa Timur","Jawa Timur"
"192","PT MINA WISATA ISLAMI","-","359/AMPHURI/2017","H. Rachmat Wicaksono Kinaloka","PIHK","","Jawa Timur","Jawa Timur"
"193","PT JEJAK IMANI BERKAH BERSAMA","Jejak Imani, Jejak Islami, Jejak Nabi","360/AMPHURI/2017","H. M. Rizaldy Latief","PIHK","","Banten","Banten"
"194","PT PAKSI NAGALIMAN WISATA","Paksi Tours & Travel","362/AMPHURI/2017","Hj. Pramajuditya","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"195","PT ASIA IMAN WISATA","Tour & Travel","363/AMPHURI/2017","Dr. H. Abdillah, Lc. M.Hi","PIHK","","Sulawesi Selatan","Sulampua"
"196","PT JIQASS DULANG WISATA","Dulang Wisata","365/AMPHURI/2017","Hj. Andi Sophawati Barung, Se, M.Adm. Sda","PIHK","","Sulawesi Selatan","Sulampua"
"197","PT ARRAFSYAH SAFARI HARAMAIN","-","366/AMPHURI/2017","H. Ardiansyah, Lc","PIHK","","Sulawesi Selatan","Sulampua"
"198","PT ALFATIH NUR HAROMAIN","Al Fatih Travel","367/AMPHURI/2017","H. Arifyanto Baharuddin Atjo","PPIU","","Sulawesi Selatan","Sulampua"
"199","PT ARAFAH BERDIKARI INSANI","Abitravel","368/AMPHURI/2017","H. Sudirman, Se, M.Si","PPIU","","Sulawesi Selatan","Sulampua"
"200","PT DARUL IMAN","-","370/AMPHURI/2017","H. Maulana Andi Surya, Lc, Ma","PPIU","","Sumatera Utara","Sumatera Utara"
"201","PT QONITA ZIKRA SEMESTA","-","371/AMPHURI/2017","Hj. Gebby Konita Dahlan","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
