No,Nama Perusahaan,Merek Perusahaan,Nomor Anggota,Nama Pimpinan,Perijinan,Kota,Provinsi,DPD
"1","PT MAKASSAR TORAJA","Maktour","001/AMPHURI/2008","H. Fuad Hasan Masyhur","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"2","PT GELORA INDAH PERDANA","Biro Perjalanan Wisata","002/AMPHURI/2008","H. Lukman Latif","PIHK","","Sulawesi Selatan","Sulampua"
"3","PT TONGGAK BUMI INDAH ARAFAH","Bia Travel","003/AMPHURI/2008","H. Achmad Shofi Yunnaja, S. Si","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"4","PT AHSANTA","Ahsanta Tours & Travel","008/AMPHURI/2008","H. Budi Firmansyah","PIHK","","Banten","Banten"
"5","PT AL-ANDALUS NUSANTARA TRAVEL","Andalus Nusantara","014/AMPHURI/2008","H. Muhammad Ramli","PIHK","","Jawa Timur","Jawa Timur"
"6","PT MUNA BINA INSANI","Munatour","016/AMPHURI/2017","Hj. Sri Sekarsih","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"7","PT JASA WISATA NUSANTARA","Jawara Tour","020/AMPHURI/2008","H. Cheppy Wahyu Hidayat","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"8","PT HIDAYAH SAFIR","Hidayah Safir Tour & Travel","023/AMPHURI/2008","H. Muzni Mohammad Yunus","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"9","PT AROFAH TRAVEL MANDIRI","Atm Tours","025/AMPHURI/2008","Hj. Keyko Sukma Ditami, Sh.","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"10","PT AL AMIN UNIVERSAL","Al Amin Universal","027/AMPHURI/2008","Drs. H. Suharli","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
